Action de formation,Libellé AF (Fr)
638,RHEOLOGIE APPLIQUEE BITUMES
639,SENSIBILISATION METROLOGIE
640,TEC GENE DE CHROMATOGRAPHIE
641,THEORIE FLUORESCENCE X
644,CREATIVITE INNOVATION RECHERCH
645,SAUVETAGE SECOURISTE TRAVAIL
646,AMDEC - MISE EN OEUVRE ET PLAN
656,GESTION ADM ET FIN FORMATION
658,ISO TS 16949 ET APPROCHE PRO
660,PAIE - CHARGES SOCIALES
661,DECLARATIONS SOCIALES
669,SOMR
671,DEVENIR AUDITEUR INTERNE ISRS
674,ISRS/I3SRS RESPONS. D'ELEMENTS
677,FORM SIES ENCADREMENT
685,SOMR RECYCLAGE ENCADRANT
696,COMMUNIQUER PLUS  EFFICACEMENT
697,EXPOSER POUR CONVAINCRE
698,TRANSPORT PETROLIER MARITIME
713,PRATIQUE DE LA PAIE
714,SEC TRANPORT MAR -DGS
716,ENROBES A CHAUD
718,ALKYLATION HF
719,ANAL CHROMATO APPL HYDROC
720,AUDITEUR SECURITE (FORMATION)
721,BRUT RAFFINAGE PRODUITS
722,CATALYSEURS IND RAF & PETROCHI
723,COMPRESSEURS CENTRIFUGES
725,CONCEPT EXPLOIT MAINT DEPOT
726,ETU  REGLAGE  DISTILLAT S/SIM
727,FCC SUR SIM - NIVEAU 2 - DGS
728,CONNAISSANCE PROD PETROLIERS
731,CORROSION IND CONTROLE & PREVENTION
733,BASES DU FCC
734,HUILES DE BASE DEPARAFFINAGE
735,DIAGN ETAT MACH-ANAL VIBRAT
737,DISTILL MOD 1 BASE EST-OUEST
738,DISTIL BINAIRE SIMULATEUR 1
739,DISTIL BINAIRE SIMULATEUR 2
740,DISTILLATION SOUS-VIDE
741,DISTILLATION
743,DISTIL SOUTIR MULTIPLES SIM 1
745,ECONOMIE DU RAFFINAGE IFP
748,ENT MOTEUR CFR/OCTANE 5 JOURS
749,ENT INSP MACH TOURNANTES
750,ENTRETIEN INSPECTION MODULE 5
751,ENTRETIEN INSPECTION MODULE 4
752,ENTRETIEN INSPECTION MODULE 1
753,ENTRETIEN INSPECTION MODULE 2
754,ENT INSP EQUIP ECH THERM
756,ENTR INSP SOUPAPES SURETE
757,ENTRETIEN INSPECTION MATERIELS
758,ENTRETIEN INSPECTION MODULE 2
759,ENTRETIEN INSPECTION MODULE 3
761,EXPL DEMINE EAU CHAUDIERE
762,EXP COMPRESS CENTRIFUGES
763,EXP DEPOT PETROLIERS&CHIMIQUES
764,EXPL TURBINES A VAPEUR
765,EXP CONDUITE CHAUDIERES
766,EXP CONDUITE FOURS
767,EXPL COMPRESS ALTERN & ROTATIF
768,EXPL POMPES CENTRIFUGES
771,ANALYSE STAT DES DONNEES
772,ARBRE DES CAUSES - GARANT
773,BRUTS RAFFINAGE PRODUITS
774,OPTIMISATION FOUR
775,CONNAIS PROCEDES RAFFINAGE
776,CONTROLE DE PROCEDES
777,FCC SUR SIMULATEUR INGENIEUR
778,GENIE CHIMIQUE DU RAFFINAGE
779,GESTION DU RAF ET DE LA PETRO
780,INITIATION AU RAFFINAGE ET PETROCHIMIE
781,MAT - M3 - INSTRUMENTATION
782,ENVIRONNEMENT LEGAL ET SOCIAL
783,MAT RAFF - MACHINES TOURNANTES
784,PROVISION PRO II
785,PRODUITS PETROLIERS
786,REFORMAGE INGENIEUR 4 JOURS
787,SEC DANS ACTIVITES LABORATOIRE
788,SECURITE LIEE AUX TRAVAUX
789,FIABILITE RESEAUX ELECTRIQ-DGS
791,PREPARATEUR SUPERVISEUR TVX
794,GENIE CHIMIQUE - MOD 1
795,GENIE CHIMIQUE - MOD 2
796,GENIE CHIMIQUE - MOD 3
797,GENIE CHIMIQUE - MOD 4
798,GENIE CHIMIQUE - MOD 5
799,GENIE CHIMIQUE - MOD 6
801,GESTION DE LA MAINTENANCE
803,GROUPE FRIGORIFIQUE
804,HYDRO-TRAITEMENTS
805,HYGIENE INDUSTRIELLE
809,INFORMATION MOTEURS
811,INITIATION RAFFINAGE
812,INSTRUMENTATION
813,INSTALLATION EN TUYAUTERIE
814,INSTRUMENTATION REGULATION
815,DISTILLATION MAT ET FONC
816,ISOMERISATION ESSENCES
817,COMMERCIALISATION PRODUITS PET
822,LUBRIFICATION DES MOTEURS
823,LUBRIFICATION ET LUBRIFIANT
824,MANAGEMENT DES RISQUES
826,MARCHES PETROLIERS
827,MELANGE DES BASES PETROLIERES
828,INDICE DE CETANE
829,INDICE OCTANE MOTEUR CFR
830,METH TECH ANALYT HYDROCAR
831,MOTEUR ALTERNATIF DIESEL-MOD 3
832,MOTEURS ET CARBURANTS
833,MOTORISTE DIESEL
835,ORGANI TRAVAUX ARRET UNITES
836,ORG TRAVAUX ENTRETIEN COURANT
837,POLLUTION DES SOLS
838,POMPES CENTRIFUGES INGENIEURS
839,PRATIQUE  PRG LINEAIRE
842,LOGIC SIMUL PRO II - INIT/PERF
844,EXPLOITATION CHAINE SOUFRE
845,PROPR STOCKAGE & TRANSF GPL
846,PROD PETROLIERS ET STOCK AGE
849,RAFFINAGE HUILES DE BASE
851,REFORMAGE OPERATEUR 5 JOURS
852,MATERIEL TUYAUTERIE
853,EQUIPEMENTS SOUS PRESSION
855,REV COMPRESSEURS ALTERNATIFS
856,REV COMPRESSEURS CENTRIFUGES
857,CONNAITRE L'ENVIR. PETROLIER
858,ECONOMIE PETROLIERE
859,DECOUVRIR LE MS
861,SECURITE TRAVAUX ENTRETIEN
862,CONDUITE DU FCC SUR SIMULATEUR
867,SURV COURANTE MACH TOURNANTES
868,SURVEIL TURBOMACHINES GP1 -DGS
869,TECHNOLOGIE MATERIEL PETROLIER
870,TRACE ISOMETR.TUYAUTERIES
871,TRAITEMENT DES EAUX
872,TRAITEMENT EAUX RESIDUAIRES
873,VISCOREDUCTION
883,RECEPTION CONFORMITE ECHAFAUDA
909,ACCESS BASE 2-7
910,ACCESS PERFECTIONNEMENT
926,MANDATAIRES SOCIAUX
943,MDP STOKAGE GPL -DGS
946,ANTIPOL
948,AVIT - AVITAILLEUR 1° DEGRE
949,GESIP POI 1 ETUDE DE DANGER
950,GESIP POI 2 ELABORATION POI
952,RIF-RECYCL INTERVENTION FEUX
954,RAFFINAGE CHIMIE DEPOT NIV 1
955,STOCKAGE DEPOT DISTRIBUTION 2
956,STOCKAGE DEPOT DISTRIB EXP
960,AGENT INSPECT SOUDAGE NIVII -D
961,AGENT INSPECT SOUDAGE NIVII -E
962,AGENT INSPECT SOUDAGE NIV3 - F
963,CODE ASME
964,CORROSION FABRICATION SOUDEE
965,COURS TECHNIQUE SOUDAGE
966,DIRECTIVE EUROPEENNE CODAP
968,METALLURGIE DU SOUDAGE
970,METALLURGIE DU SOUDAGE A1
971,METALLURGIE DU SOUDAGE A2
972,RADIO INTERPRETATION
973,RESSUAGE NIVEAU 2
976,METALLURGIE DU SOUDAGE A4
977,PROCEDES SOUDAGE ARC
981,PRGME LIN ET LANGAGE GRTMPS
982,METHODE HAY D'EVALUATION
983,ANALYSE ET GEST REMUNERATIONS
995,LOGICIEL RMPCT HONEYWELL
996,LOGICIEL HYSIS
997,ACCESS NIVEAU 2 LONG
1042,INTRODUCTION A LA CHIMIE
1050,RECYCLAGE LOCOTRACTEUR
1051,APPROCHE PROCESSUS
1054,SPLIT 4
1058,GESTION ADM DU PERSONNEL
1063,PRICE RISK IN THE OIL INDUSTRY
1064,TRADING OIL ON INTERN MARKETS
1066,SPECTROMETRIE INFRA ROUGE
1067,ANALYSE POINTS SPECIFIQUES
1070,BUREAU ETUDE EN INSTRUMEN
1072,CHROMATO PHASE GAZEUSE
1073,ANALYSE GAZ
1074,ENV INDUS QUALITE EAU
1075,BOUCLES DE REGULATION
1076,METROLOGIE PRODUITS PETROLIERS
1077,LES ANALYSEURS INDUSTRIELS
1078,STRATEGIES DE CONTROLE AVANCE
1080,REGULATION INDUSTRIELLE INGEN
1084,ECHANTILLONNAGE ANALYSEUR IND
1086,TEC MAINTENANCE INSTRUMENTAT
1088,MANAGEMENT TRANSVERSE
1089,GERER ET ORGANISER SON TEMPS
1090,GESTION BUDGETAIRE&FINANCIERE
1091,GESTION DU TEMPS-PRIORITES
1092,MORPHEE 2 - OPER BANC CONFIRME
1099,AUDITEUR QUALITE INTERNE
1106,GESTION DE PROJET EN RECHERCHE
1107,RESOLUTION DE PROBLEMES
1108,ECONOMIE DE L'ENTREPRISE
1110,ANALYSE FINANCIERE - PERFECTIONNEMENT
1111,PERFORMANCE VENTE 1
1119,RECEPTION PIPE ET AUTOMATISMES
1120,SAVOIR FAIRE COMMERCIAL AU TEL
1122,CHOISIR SON TEMPS
1123,OPTIMISER SON TEMPS ET NOTES
1125,CABLAGE RESEAUX TELECOM (258)
1138,COMPRENDRE LE DROIT DU TRAVAIL
1144,CORROSION MATERIAUX REFRACTAIRES
1146,MATERIAUX REFRACTAIRES
1152,INTEGRATION ACCUEIL RN / LES E
1156,CIRCULATION & REG FISC DECHETS
1160,REGL DOUAN ET FISC PROD PETRO
1165,ATELIER PRATIQUE VENTE PAR TEL
1176,SQL LANGAGES
1182,WINDOWS SERVER
1205,INIT ET TEC COMMUNICATION SIES
1207,ACCUEIL RAFFINAGE
1208,MANAGEMENT EN EQUIPES POSTEES
1209,RECHERCHER SOLUTIONS EN GROUPE
1210,CONDUITE DE REUNION
1211,TECHNIQUES DE COMMUNICATION
1212,TRANS COMPETENCES EN EQUIPE
1220,FONCTION ACHAT FINANCES
1221,FONCTION ACHAT JURIDIQUE
1222,FONCTION ACHAT NEGOCIATION
1223,FONDAMENTAUX ACHATS
1226,RECEPTION BATEAUX
1227,MAITRISE DECV CONV 1
1228,OPERATEUR EXTERIEUR DAS 1
1229,EXTERIEUR VISCOREDUCTEUR
1230,OPERATEUR TAB/EXT CEB
1231,OPERATEUR TAB/INTER VICSO
1232,MAITRISE CRAQUEUR 4
1233,OPERATEUR ADJOINT CR4
1234,OPERATEUR CONDUITE CENT CR4
1235,OPERATEUR POLYMERISATIONS
1236,POMPISTE JOUR DEGP CONV2
1237,CHARGEUR HUILES
1238,CHARGEUR PARAFFINES
1239,CHEF MELANGE HUILES
1240,OPERATEUR EXTERIEUR MEL HUILES
1241,OPERATEUR GREER
1242,OPERATEUR TABLEAU MEL H
1243,OP TRANSF EXP - DSH
1244,MAITRISE DISTRIB UTILITES
1245,MAITRISE ENERGIE
1246,OPERATEUR EXTERIEUR CENTRALE 1
1247,OPERATEUR EXT RENFORT CENT 3
1248,OPERATEUR INTERVENT DISTR UTIL
1249,OPERATEUR INTERVENT ELECTRIC
1250,OPERATEUR TABLEAU CENTRALE 1
1251,OPERATEUR CONSOLE INTERV CENTRALE NRJR
1252,OPERATEUR TRAITEMENT EAUX NRJ
1253,CONSOLE / INTERV - OUEST -TRF
1254,RDQ - OUEST  - TRF
1255,OP EXT ISOC8/FRAC6/FDR/COMMUN OUEST
1256,TRF OP EX REF7/GPO/DIP-OUEST
1257,MAITRISE HUILES 2
1258,OPERATEUR COND CENT HUILE 2
1259,OPERATEUR EXTER  MEC2/HDF1&2
1261,MAITRISE DEHP HUILES 3
1262,OPERATEUR EXT D10/FF3 HUILES DSH
1263,OPERATEUR EXT D8 FF1/FF2
1264,OPERATEUR MEC 3 / HYDROS 3/4
1266,POMPISTE SH3
1267,CHEF DE QUART SUD
1268,OPERATEUR EXTERIEUR D11
1269,OPERATEUR EXTERIEUR DGO3
1270,OPERATEUR EXTERIEUR DGO4 / DGO5 -
1273,POMPISTE D11 (QUART)
1274,POMPISTE CHARGEUR SOUFRE JOUR D11-
1275,CENTRE CAMION EMPLOYE
1276,CHEF DE QUART ADJOINT TMEX
1277,GPL OPERATEUR EXTERIEUR TMEX
1278,JEPP  TMEX
1279,MAITRISE TMEX
1280,OPERATEUR COND CENTR MELANGES
1281,OPERATEUR EXT EAUX RESIDUAIRES
1282,OPERATEUR EXT MEL
1283,OPERATEUR COND CENTR GPL/EXP
1292,PROTYS
1337,SCM510  GESTION DES STOCKS
1380,PROT INSTAL IND HTA/BT MICOM
1381,GEST INSTALLATIONS ELECTRIQUES
1386,TUYAUTERIES CODETI
1401,PRINCIPES DE BASE INTERPEL
1409,SENSIBILISATION CREATIVITE REC
1422,TED-P - BRAS DE CHARGEMENT
1426,INTERPRETATION SPECTRES
1427,MORPHEE 2 - OPER BANC ROULEAUX
1430,TED-S  MODULE SATAM
1435,FORMATION PREMIERS SECOURS
1436,RECYCLAGE AUX PREMIERS SECOURS
1439,CHROMATOGRAPHIE PHASE GAZEUSE
1445,ENV- REGLEMENTATION
1446,JOURNEE HSEQ CERT
1447,BASE SECURITE PROD DANG ATEX
1457,ALGOS ENERGIE UTILITES - RN
1458,ALKY FIPT - DGS
1459,ALKYLATION
1460,ANALYSE STRUCTURE FINANCIERE
1462,ANALYSE - ANALYSEURS
1464,ANALYSE TRAITEMENT SYSTEMATIQU
1465,ANAMEL
1471,ARCHITECTURE IAS
1476,PREMIERS SECOURS - AFPS
1478,AUDIT DE CHANTIER
1479,METROLOGIE PAR LA PRATIQUE
1481,AUDITEUR PROCESSUS
1483,AUDIT QUALITE INTER DE LA RAF
1488,AUTOMATE PROGRAMMABLE
1490,AUTOMATES ALLEN BRADLEY
1492,AUTORISATION DE TRAVAIL
1493,ORIENTATION CLIENT
1495,BASE OPERATEUR
1496,ADDITIFS POUR LUBRIFIANTS
1497,BASES COGENERATION
1498,BASES COMPRESSEUR CENTRIFUGE
1501,BASES COMPRESSEUR VOLUMET
1503,BASES DISTILLATION BINAIRE RAF
1504,BASES ECHANGEURS
1506,BASES ECHANTILLONAGE
1508,SENSIBILISATION RISQUES MAJEURS EN AVAL
1509,BASES ENTRAINEMENTS
1511,BASES CAPACITES DEPOTAGE RAF
1513,FOURS- PLATEFORME DE NORMANDIE
1517,BASES LECTURE DE PLAN
1519,BASES OPERGUID/OPERGRAPH - RN
1523,BASES POMPES
1525,BASES PRODUITS
1527,BASES RESEAUX ET PURGES
1529,BASES ROBINETTERIE TUYAUTERIE
1531,BASES SECURITE
1536,BASES UTILITES
1538,BILAN DE COMPETENCES
1539,BO UTILISATEUR NIVEAU 1
1541,BOSS & LES LOIS DE MELANGES
1543,BREVET OPERATEUR
1545,MONITEUR PREM SECOURS -BNMPS
1546,BUTADIENE-ETBE -
1566,TOTAL SALES ACADEMY
1568,GERER UNE ENTREPRISE
1572,DC4 ENTRETIENS COMM A VAL AJOU
1591,NEGOCIATION STRATEGIQUE
1599,R1 - PROFESSION GERANT
1607,CARB - CARBURANTS AVIATION
1609,PSE1 - EQUIPIER PREMIER SECOURS NIVEAU 1
1611,CIRCUIT REFRIGERATION & DECANT
1612,CITERNIER
1614,CMS FIPT - DGS
1624,CONDUITE DE NACELLE
1625,CONDUITE CHAUDIERES OPERATEURS
1627,CONDUITE DES MELANGEUSES RN
1628,CONDUITE FCC RP
1629,FCC SUR SIM - NIVEAU 1 - DGS
1634,CONSEILLER A LA SECURITE MODUL
1635,CONSEILLER A LA SECURITE MODUL
1636,CONSEILLER SECURITE TRANSPORT
1637,CONSEILLER SECURITE CIVILE
1638,CONS SEC TRANSP MOD SC
1640,CONS SEC TRANSP MOD TC
1641,CONSEILLER SECURITE TRANSPORTS
1642,CONSIGNATION DE MATERIEL
1644,INTRODUCTION AU PAI
1645,COORDINATEUR SPS
1646,SENSIB PROTOCOLE  D'AUDIT SMI
1647,INSTRUM DECOUVERTE POUR AAFI
1648,DECOUVERTE ENERGIE UTILITES RN
1650,DECOUVERTE DES UNITES RN/UGO
1651,DECOUVERTE RAFFINAGE PRODUITS
1652,DEE FIPT - DGS
1657,DESULFURATION BASE & CONDUITE
1658,INTEGRAT NOUV CHEF OPERAT DGS
1659,THEORIE DEE FIPT - DGS
1660,FIPT PERS -DGS
1661,DGS FIPTS HD
1662,HD FIPT - DGS
1663,MARIN POMPIER FIPT - DGS
1664,THEOR MARIN POMPIER FIPT - DGS
1666,MDP ANALYSEURS -DGS
1667,MDP FIPT - DGS
1668,MDP PIPE-LINE VERN - DGS
1669,THEORIE MDP FIPT - DGS
1670,OC DELESTAGE ELECTRIQ/VAP -DGS
1671,OC FCC SIMU FCC 3 - DGS
1672,PRES SERVICES ORDO/CPF- DGS
1673,OC RR SIMU RR3 - DGS
1674,OPE ECH QUAL PRODUITS - DGS
1675,OPE OPERATEUR INTERVENTION-DGS
1676,ENVIRONNEMENT TER - DGS
1677,PERS PRES GR 1 - DGS
1678,PERS PRES GR 3 - DGS
1679,PERS PRES MDP - DGS
1680,PERS PRES GR 2 - DGS
1681,PERS PRES REX SEC - DGS
1682,THEORIE R/PROPY/TORC FIPT -DGS
1684,RR FIPT - DGS
1685,THEORIE RR FIPT - DGS
1688,THEORIE CMS DGS FIPTS
1689,THEORIE UTILITES SUD FIPT -DGS
1690,THEORIE VISCO FIPT - DGS
1695,ECHANGE CHALEUR CONDUITE RAFFI
1703,ENTRAINEMENT SECURITE INCENDIE
1707,ENVIRONNEMENT
1708,ENVIRONNEMENT DES GPL
1711,ETUDES DE DANGER
1713,EVALUATION DES RISQUES
1715,EXERCICES BASE SUR FEUX REELS
1716,EXPL TURBOCOMPRESSEURS-MEC
1718,DEHP EXTRACTION AROMATIQUES
1720,FCC FIPT - DGS
1721,UTILISATION MS PROJECT
1722,GRANDS FEUX ET POI
1723,REVUE HAZOP QUANTIFIEE
1724,MAITRISE STATISTIQUE PROCESSUS
1725,PRESTATION DE SERV EN MAINTEN
1726,PERFECTIONNEMENT PROCEDES
1727,SENSIBILISATION AUX PLANS D’EXPERIENCE
1728,UTILISATION DE GERA
1729,FICHES DE DONNEES SECURITE
1734,FONCT COMPRESS TURB GP3 - DGS
1735,FONCT COMPRESS TURB GP2 - DGS
1741,MATER ELEC-ATMOSPHERE EXPLOSIB
1744,FORMATION APPLICATION SAM RN
1745,QUALITE DEHP
1746,CONFIGURATION DATREC
1747,FORMATION METIER AVITAILLEMENT
1748,FORMATION ENQUETES ACCIDENTS
1751,COND EQUIPEMENT-SOUS PRESSION
1757,FORMATION SANTE
1759,FLUIDES SPECIAUX
1761,CHEF OPERATEUR FIPT - FZN
1762,RAF COACI PC 2 FIPT - FZN
1765,RAF COACI PC 1 FIPT - FZN
1776,RAF EXT ALK FIPT - FZN
1778,RAF EXT ARO FIPT - FZN
1780,RAF EXT DA2 FIPT - FZN
1782,RAF EXT FCC FIPT - FZN
1784,RAF EXT HDS FIPT - FZN
1786,RAF EXT REF FIPT - FZN
1788,RAF EXT SV2 FIPT - FZN
1790,RAF EXT VIS FIPT - FZN
1792,RAF RT UNITE 1 FIPT - FZN
1794,RAF RT UNITE 2 FIPT- FZN
1798,VAPO CE2 FIPT - FZN
1800,VAPO CE1 FIPT - FZN
1802,VAPO COACI FIPT - FZN
1804,VAPO CO FIPT - FZN
1806,VAPO OC2 FIPT - FZN
1808,VAPO OC1 FIPT - FZN
1810,VAPO EXT BUTADIENE FIPT - FZN
1812,VAPO EXT FOUR FIPT - FZN
1814,VAPO EXT FROID FIPT - FZN
1816,VEMU CE FIPT - FZN
1818,VEMUCOACI FIPT - FZN
1820,VEMU CO FIPT - FZN
1822,VEMU OC FIPT - FZN
1824,VEMU EXT TER FIPT - FZN
1826,VEMU EXT TRANSFERT FIPT - FZN
1828,VEMU EXT OPI - FZN
1830,GENERATION DE VAPEUR EN RAF
1831,GESIP INTENSIF FEYZIN
1833,GESTES ET POSTURES
1838,GESTION DES COMBUSTIBLES RAF
1840,GESTION DES DECHETS
1841,GESTION DES UTILITES RAF
1842,GESTION DU STRESS / EFFICACITE
1845,GESTION SINISTRE
1849,GESTION STOCK DOUANE
1850,RESEAUX ELECTRIQUES
1851,FIPT AGENT DE GESTION
1852,AGENT DE PREVENTION FIPT
1854,FIPT CESP
1858,RESPONSABLE DE SITE FIPT
1859,FIPT TE - TRAITEMENT DES EAUX
1861,HABILITATION ALKYLATION
1862,HABILITATION ALKY HF LABO
1863,HABILITATION DEFIBRILATEUR
1864,HABILITATION ELECTR PRATIQUE
1865,HABILITATION H2S
1866,HD FIPT SITE - DGS
1867,HEL HABILIT ELECTRIQUE
1868,HUILES DE BASE
1869,HYDRAULIQUE
1872,INITIATION AUX LUBRIFIANTS
1873,INITIATION GESLABO STARLIMS RN
1876,INIT MESURE REGULATION OPERAT
1878,CONTROLE PAR ULTRASONS NIV 1
1879,ULTRASONS -NIV2 -CYCLE COMPLET
1881,ULTRASONS - NIV 2 - PARTIE 2
1882,ULTRASONS - NIV 2 - PARTIE 3
1883,RBI MISE EN OEUVRE
1884,INSTRUMENTATION/CONDUITE
1885,RC1/RC2 POUR FMCO
1887,GESIP- RAFF CHIMIE 1 / RC1
1888,GESIP-RAFF CHIMIE 2/RC2
1889,SPECIFIQUE GAZ
1893,INTOX INTERV PRODUITS TOXIQUES
1894,MANAGEMENT ISSSRS-TOTAL J1
1898,LA REGULATION NUMERIQUE
1899,LABO -DGS FIPT
1900,LABO MODULE 1
1901,LABO MODULE 10
1902,LABO MODULE 11
1903,LABO MODULE 12
1904,LABO MODULE 13
1905,LABO MODULE 14
1906,LABO MODULE 15
1907,LABO MODULE 7.2
1911,LABO MODULE 2
1912,LABO MODULE P6
1915,LABO MODULE P1
1916,LABO MODULE P2
1917,RP LABO MODULE 25
1918,LABO MODULE P3
1919,LABO MODULE 27 - RP
1920,LABO MODULE 28 - RP
1921,LABO MODULE 29 - RP
1922,LABO MODULE 3
1923,LABO MODULE P5
1931,LABO MODULE 38
1933,LABO MODULE 4
1935,LABO MODULE 5
1936,LABO MODULE 6.1 - RP
1937,LABO MODULE 6.2 - RP
1938,LABO MODULE 7.1
1940,LABO MODULE 9.1 - RP
1941,LABO MODULE 9.2 - RP
1944,LEGISL INSTALLATIONS CLASSEES
1945,LEGISLATION TRANSP ROUTIERS
1950,AUTORISATION TRAV INFORMATIQUE
1961,LUBRIFIANTS TOTALAGRICULTURE
1963,LUBRIFICATION COMPRESSEUR
1970,MAITRISE STAT DES PROCESSUS
1971,MANAGEMENT SECURITE ISRS S2
1979,CORRESPONDANTS METROLOGIE LABO
1982,METRO LEG - VOLUMES ET PESAGES
1988,MISE  EN PLACE FONC METROLOGIE
1990,MIEUX COMMUNIQUER TELEPHONE
1991,SECURITE NIVEAU POI 3
1992,M PLACE SYST ENVIRONNEMENT ISO
1995,LE BON GESTE
1998,STAT LABO - INCERTI MESURE
2002,NOUVEAUX DELEGUES
2003,NOUVEAUX REPARTITEURS TECHNIQ
2006,PREVENTEUR INTERVANT
2009,ORGAN MAINTENANCE FIABILITE
2018,PERMIS CONDUIRE C
2020,PERMIS CONDUIRE EB
2021,PERMIS CONDUIRE EC PL 38 T
2022,PERMIS COTIER
2028,POMPES/COMPRESSEURS/REGULATION
